,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
288,1509949911747465216,BoingBoing,1648835087000.0,2022-04-02 01:44:47,Note for anyone stealing this guy’s Porsche 914  https://t.co/f0meLugUcK,en,[],[],https://twitter.com/BoingBoing/status/1509949911747465216,['https://boingboing.net/2022/04/01/note-for-anyone-stealing-this-guys-porsche-914.html'],[],0,,4,0,1
291,1509944956491730944,AutoNewsEurope,1648833905000.0,2022-04-02 01:25:05,Former Porsche exec Zellmer to become Skoda CEO  https://t.co/jx3fKHxeTO  https://t.co/XdEHd0bN7w,en,[],[],https://twitter.com/AutoNewsEurope/status/1509944956491730944,['http://dlvr.it/SMnqwp'],['https://pbs.twimg.com/media/FPRm78NVEAEc6Eb.jpg'],1,https://pbs.twimg.com/media/FPRm78NVEAEc6Eb.jpg,0,0,0
293,1509942417721495552,nottslive,1648833300000.0,2022-04-02 01:15:00,"Nottinghamshire Porsche owner furious after warranty spat over £34,000 car   https://t.co/r9fy8DzWY6",en,[],[],https://twitter.com/nottslive/status/1509942417721495552,['https://www.nottinghampost.com/news/local-news/nottinghamshire-porsche-owner-furious-after-6894034'],[],0,,0,2,0
295,1509938651966455821,Porsche,1648832402000.0,2022-04-02 01:00:02,"Visionary artist Sean Wotherspoon continues life in the fast lane, revealing his latest inspired piece featuring the Taycan 4S Cross Turismo at Porsche Unseen. #PorscheSXSW  https://t.co/MWM5GQvsc9",en,['porschesxsw'],[],https://twitter.com/Porsche/status/1509938651966455821,[],[],1,https://pbs.twimg.com/media/FPMchQuXoAMG5hL.jpg,111,8,15
296,1509938650112397316,PorscheGB,1648832402000.0,2022-04-02 01:00:02,"“…quick on track, surprisingly usable on road and a sonic sensation everywhere. Believe the hype… this is likely to go down as one of the all-time greats.”  @BBC_TopGear   Discover the full 10/10 star 718 Cayman #GT4RS review:  https://t.co/Njc1lPGcII  https://t.co/rZnj3wRuGJ",en,['gt4rs'],[],https://twitter.com/PorscheGB/status/1509938650112397316,['https://www.topgear.com/car-reviews/porsche/718-cayman-gt4-rs'],"['https://pbs.twimg.com/media/FPRZgE2XsAE5hk_.jpg', 'https://pbs.twimg.com/media/FPRZgE3WUAAazIs.jpg']",1,https://pbs.twimg.com/media/FPRZgE2XsAE5hk_.jpg,149,6,15
300,1509926114571046914,kirkkorner,1648829413000.0,2022-04-02 00:10:13,"Exclusive: More driving woes for West Ham's Manuel Lanzini, after he was caught popping to the pharmacy in his Porsche:    https://t.co/gkVLyXbDGd",en,[],[],https://twitter.com/kirkkorner/status/1509926114571046914,['https://www.standard.co.uk/news/crime/west-ham-manuel-lanzini-driving-porsche-insurance-licence-police-crash-b992008.html'],[],0,,0,0,0
302,1509925555969351682,carwowuk,1648829280000.0,2022-04-02 00:08:00,"SPOTTED - new Porsche 911!   ➡️ Hybrid version CONFIRMED! 👀 ➡️ 700hp+ possible ➡️ On sale in 2023   Here's everything we know so far:  https://t.co/kx7Na2QRrJ    A hybrid 911, or the Ferrari 296 GTB - which would you pick?  https://t.co/zgRh7fmuhS",en,[],[],https://twitter.com/carwowuk/status/1509925555969351682,['https://bit.ly/-Porsche-911-Hybrid-Confirmed'],['https://pbs.twimg.com/media/FPF46ruXIAc-lus.jpg'],1,https://pbs.twimg.com/media/FPF46ruXIAc-lus.jpg,375,11,21
303,1509925438059126789,tedgioia,1648829252000.0,2022-04-02 00:07:32,“A few things to know before stealing my Porsche 914.”  https://t.co/ZremQzDtEE,en,[],[],https://twitter.com/tedgioia/status/1509925438059126789,['https://www.hagerty.com/media/advice/a-few-things-to-know-before-you-steal-my-914/'],[],0,,18,1,5
304,1509923657216368640,PorscheCanada,1648828827000.0,2022-04-02 00:00:27,"Put your sports car to the ultimate test. This year at Porsche Sports Cup Canada, Porsche race car owners can experience open-lapping sessions designed specifically for them. Learn more:  https://t.co/N5I9jxsANq #PorscheSportsCupCanada  https://t.co/UZf0pgwzcW",en,['porschesportscupcanada'],[],https://twitter.com/PorscheCanada/status/1509923657216368640,['https://porschesportscup.limelightplatformevents.com/'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1509923585288196102/pu/img/a10WONXVZZYldunq.jpg,1,1,1
306,1509923482376683525,HannahElliott,1648828785000.0,2022-04-01 23:59:45,What’s your favorite object from Porsche Design?  https://t.co/Kjj8lSK5Ci,en,[],[],https://twitter.com/HannahElliott/status/1509923482376683525,['https://www.bloomberg.com/news/features/2022-04-01/porsche-design-celebrates-50-years-of-iconic-builds-with-retrospective-book'],[],0,,14,8,2
310,1509921649713364997,standardnews,1648828348000.0,2022-04-01 23:52:28,West Ham midfielder Manuel Lanzini faces a driving ban and a hefty fine after he was caught illegally driving a brand-new Porsche through London without a licence or insurance  https://t.co/yVFQVGN0ta,en,[],[],https://twitter.com/standardnews/status/1509921649713364997,['https://bit.ly/3J4nhua'],[],0,,2,1,0
311,1509921088721108993,EveningStandard,1648828215000.0,2022-04-01 23:50:15,West Ham midfielder Manuel Lanzini faces a driving ban and a hefty fine after he was caught illegally driving a brand-new Porsche through London without a licence or insurance  https://t.co/hly3wqmWmd,en,[],[],https://twitter.com/EveningStandard/status/1509921088721108993,['https://bit.ly/3u0Zs2k'],[],0,,0,0,0
313,1509919305902825479,thedrive,1648827790000.0,2022-04-01 23:43:10,Chevy needs to follow Porsche's lead and build a million special edition Corvettes:  https://t.co/NfIT3VRtuv,en,[],[],https://twitter.com/thedrive/status/1509919305902825479,['https://www.thedrive.com/news/45003/chevy-needs-to-follow-porsches-lead-and-build-a-million-special-edition-corvettes'],[],0,,6,0,1
315,1509918590748794880,MotorsportsNBC,1648827619000.0,2022-04-01 23:40:19,"Jaguar, Maserati and Porsche are among the seven manufacturers committed to the @FIAFormulaE Gen3 car for 2023.  https://t.co/3MJFuKGYn2",en,[],[],https://twitter.com/MotorsportsNBC/status/1509918590748794880,['https://motorsports.nbcsports.com/2022/04/01/formula-e-gen3-manufacturers-jaguar-maserati-nissan-porsche/'],[],0,,9,1,2
317,1509910477463334930,luxury,1648825685000.0,2022-04-01 23:08:05,We've been waiting to drive the Porsche 718 Cayman GT4 RS since 2016 — and it doesn't disappoint  https://t.co/ZMWxc5lh36,en,[],[],https://twitter.com/luxury/status/1509910477463334930,['https://trib.al/TojJC66'],[],0,,5,0,4
318,1509909953213046786,PorscheRaces,1648825560000.0,2022-04-01 23:06:00,#NLS - The #969 #718CaymanGT4Clubsport of #Porsche customer team Schmickler Performance won the first race of the new #PorscheEnduranceTrophyNBR Cup 3 class as part of the @vln_de  https://t.co/dOvQDazo9k,en,"['nls', '718caymangt4clubsport', 'porsche', 'porscheendurancetrophynbr']",[],https://twitter.com/PorscheRaces/status/1509909953213046786,[],['https://pbs.twimg.com/media/FPPwtj8XwAM0t5z.jpg'],1,https://pbs.twimg.com/media/FPPwtj8XwAM0t5z.jpg,144,1,10
