,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
25,1.51E+18,WOWT6News,USA,1.64919E+12,2022-04-06T03:59:00Z,"General Motors, Mercedes-Benz, Hyundai, Stellantis and Volkswagen have issued recalls since February of 2020, most due to internal battery failures that can increase the risk of fires.    https://t.co/6jAcKIr993",en,[],[],https://twitter.com/WOWT6News/status/1511433241290588161,['https://www.wowt.com/2022/04/05/us-agency-opens-probe-into-electric-vehicle-batteries/'],[],0,0,0,0
26,1.51E+18,SportsPro,UK,1.64916E+12,2022-04-05T21:16:51Z,Audi has reportedly upped its offer for a stake in McLaren Racing to €650m as the Volkswagen-owned brand looks for a way to get into F1 #F1 #SportsBiz  https://t.co/XlAJfLiyir,en,"['f1', 'sportsbiz']",[],https://twitter.com/SportsPro/status/1511332038284124162,['https://bit.ly/3KaTS2M'],[],0,3,0,1
27,1.51E+18,CarbonBubble,UK,1.64916E+12,2022-04-05T20:35:00Z,"34 investors managing more than $7 trillion in assets have warned 17 of Europe's largest companies, inc #BP &amp; Volkswagen they could challenge board directors over failure to account for #ClimateRisks  https://t.co/I08pvoLzWc",en,"['bp', 'climaterisks']",[],https://twitter.com/CarbonBubble/status/1511321504264323078,['https://www.reuters.com/business/sustainable-business/exclusive-investors-warn-european-companies-over-climate-accounting-2022-04-04/'],[],0,12,0,10
28,1.51E+18,UKVolkswagen,UK,1.64915E+12,2022-04-05T16:56:26Z,@Deeasho1 Hi. We're sorry to hear about your concerns. We'd suggest you speak with the Service Team at the local Volkswagen Retailer and they'll advise you further on this. Click on the link below to locate the nearest to you and the contact details -  https://t.co/kfTH5bYxbV,en,[],[],https://twitter.com/UKVolkswagen/status/1511266500103000067,['http://ow.ly/HSsL30sgxq9'],[],0,0,0,0
29,1.51E+18,UKVolkswagen,UK,1.64915E+12,2022-04-05T16:34:06Z,"@grrooves Hi. We're disappointed to hear this. As a first step, we'd suggest that you advise your close friend to raise their concerns with the Management Team of the Volkswagen Retailer.",en,[],[],https://twitter.com/UKVolkswagen/status/1511260880029331456,[],[],0,0,2,0
30,1.51E+18,UKVolkswagen,France,1.6491E+12,2022-04-05T02:04:17Z,"@mo123em Hi, Maureen. We're sorry to hear about this experience. Any and all order enquiries are now through our Authorised Volkswagen Retailers. We do recommend speaking with their Management Team to see if there is anything that they can do for you. Please feel free to DM us.",en,[],[],https://twitter.com/UKVolkswagen/status/1511041984185749509,[],[],0,0,0,0
31,1.51E+18,VfLWolfsburg_EN,Germany,1.64908E+12,2022-04-04T23:00:43Z,#UWCL semi-finals dates set 🗓  VfL Women to host Barcelona at the Volkswagen Arena on April 30th. 🏟  Read more ➡️  https://t.co/BegmB5dsAf  https://t.co/uJOydioUcc,en,['uwcl'],[],https://twitter.com/VfLWolfsburg_EN/status/1510995786477232135,['https://vfl.ink/EARCy'],['https://pbs.twimg.com/media/FPgiqTTXIAYRwBo.jpg'],1,29,0,1
32,1.51E+18,BiIndia,India,1.64908E+12,2022-04-04T23:00:00Z,"#Volkswagen reveals Polo Legend Edition in India — Price, specifications and features   https://t.co/bw4WMByi7w  By @rahullko32",en,['volkswagen'],[],https://twitter.com/BiIndia/status/1510995609276321792,['https://www.businessinsider.in/stock-market/budget2016/manufacturing/auto/volkswagen-reveals-polo-legend-edition-in-india-price-specifications-and-features/slidelist/90640679.cms'],[],0,2,0,0
33,1.51E+18,VWGroup,Germany,1.64908E+12,2022-04-04T21:09:58Z,"#ŠKODA will have a new boss from July: The current VW brand sales head Klaus Zellmer will become new CEO.  He succeeds Thomas Schäfer, who returns as COO to #Volkswagen after two years at the helm of ŠKODA and will be promoted to the Group Board of Management as well.  https://t.co/Srv01Z6dxp",en,"['škoda', 'volkswagen']",[],https://twitter.com/VWGroup/status/1510967917873090568,[],['https://pbs.twimg.com/media/FPgI9CPXoKkGJT0.jpg'],1,26,6,3
34,1.51E+18,volkswagen,Germany,1.64908E+12,2022-04-04T20:30:00Z,"Volkswagen laid the foundations for the all-electric #VWIDBuzz more than 50 years ago. In 1972, we presented an electric van based on the T2 – initially as a test vehicle, then later as a very small batch.  Let’s journey back to the roots of our new icon. Click below. 👇",en,['vwidbuzz'],[],https://twitter.com/volkswagen/status/1510957860582092811,[],[],0,75,4,16
35,1.51E+18,ETAuto,India,1.64907E+12,2022-04-04T19:41:36Z,Volkswagen India marks 12 years of Polo with ‘Legend’ priced at INR 10.25 lakh   https://t.co/A2xvGitkLM  @volkswagenindia #VWPolo #PoloLegendEdition #newlaunche #legendeditionprice #legendeditionfeatures #12yearsofPolo,en,"['vwpolo', 'pololegendedition', 'newlaunche', 'legendeditionprice', 'legendeditionfeatures', '12yearsofpolo']",[],https://twitter.com/ETAuto/status/1510945680210087936,['https://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/volkswagen-india-marks-12-years-of-polo-with-legend-priced-at-inr-10-25-lakh/90642871'],[],0,0,0,0
36,1.51E+18,News9Tweets,India,1.64907E+12,2022-04-04T17:41:01Z,🚘 The launch of the 'Legend' edition is the last hurrah for the sixth-gen Volkswagen Polo in India after a 12-year-long production run; only 700 units will be available  @volkswagenindia   https://t.co/QrpGgxx1zo,en,[],[],https://twitter.com/News9Tweets/status/1510915334433546240,['https://www.news9live.com/auto/volkswagen-polo-production-ends-with-legend-edition-launch-only-700-units-available-162709'],[],0,2,0,1
37,1.51E+18,NewsBytesApp,India,1.64906E+12,2022-04-04T17:13:25Z,Volkswagen Polo bids adieu to Indian market with 'Legend' edition #Volkswagen    https://t.co/fa7RvsoR2z,en,['volkswagen'],[],https://twitter.com/NewsBytesApp/status/1510908388787429378,['https://twitter.com/i/events/1510908082213163013'],[],0,1,0,0
