,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
4489,1.49E+18,Motorsport, ,1.64442E+12,2022-02-09T22:08:44Z,BMW is aiming to take its LMDh prototype to the Le Mans 24 Hours in two years' time.  Full story:    https://t.co/u82LEDzz4a,en,[],[],https://twitter.com/Motorsport/status/1491413759344410628,['https://www.motorsport.com/wec/news/bmw-targets-le-mans-2024-entry-with-lmdh-car/8020130/'],[],0,308,8,40
4490,1.49E+18,JCPinSwanseaBay, ,1.64442E+12,2022-02-09T22:03:19Z,Apprentice BMW Sales Adviser @SytnerBMW #SwanseaJobs  See link for details:  https://t.co/SdPL31Vpm5  #AWWales #ApprenticeshipsWales #BeYOUthSwansea  https://t.co/VJPluylRUP,en,"['swanseajobs', 'awwales', 'apprenticeshipswales', 'beyouthswansea']",[],https://twitter.com/JCPinSwanseaBay/status/1491412398942658561,['http://ow.ly/VzOb30s9CJb'],['https://pbs.twimg.com/media/FLKPrHXX0AEUHzG.jpg'],1,2,0,2
4491,1.49E+18,IdeasPowered, ,1.64441E+12,2022-02-09T21:15:00Z,Check out this this new application of e-reader technology. The German car manufacturer #BMW showed the world the #ixFlow at the #ConsumerElectronicsShow in Las Vegas. It allows you to turn the exterior of the car into a variety of grey and white motifs.  https://t.co/XqMjedkc5H,en,"['bmw', 'ixflow', 'consumerelectronicsshow']",[],https://twitter.com/IdeasPowered/status/1491400238858264576,['https://www.reuters.com/business/autos-transportation/change-your-cars-colour-with-an-app-bmw-unveils-colour-changing-car-2022-01-07/?fbclid=IwAR1s-rnSASbQp0rhh-nUheL26oQpiYVsonoDcsv2i4aRgkL2nnE4GsCrccg'],[],0,5,0,3
4492,1.49E+18,Automotive_News, ,1.64441E+12,2022-02-09T20:35:04Z,Watch BMW's entire Super Bowl ad with Arnold Schwarzenegger as an aging Zeus  https://t.co/1rzM0g2rem  https://t.co/gyA2kccx37,en,[],[],https://twitter.com/Automotive_News/status/1491390189670846465,['http://dlvr.it/SJfw2x'],['https://pbs.twimg.com/media/FLJ7eVrVUAQG90m.jpg'],1,4,0,2
4493,1.49E+18,CityofJoburgZA, ,1.64441E+12,2022-02-09T19:22:24Z,"@PrettyF50007483 @RealMrumaDrive @LegalAidSA1 @CapitecBankSA @BMW Hi @PrettyF50007483, please keep an eye on our vacancies page and shoot your shot. You never know 😉. Our latest vacancies can be found on our LinkedIn page or on this link 👉🏽  https://t.co/NU7ffEIC0D  #JoburgVacancies #JoburgUpdates #JoburgWorks ^NJ",en,"['joburgvacancies', 'joburgupdates', 'joburgworks']",[],https://twitter.com/CityofJoburgZA/status/1491371904057233408,['https://www.joburg.org.za/work_/Pages/Work%20in%20Joburg/Vacancies/2022%20Vacancies/February/February.aspx'],[],0,0,0,0
4494,1.49E+18,BMW, ,1.6444E+12,2022-02-09T19:00:21Z,"The world needs you 🌍 Ask Alexa to “Start Hypnopolis Interactive”, and join in on the adventure. Listen now:  https://t.co/Nv4im4jNGq #BMWHYPNOPOLIS #THEiX #BMW  https://t.co/YNACsWT803",en,"['bmwhypnopolis', 'theix', 'bmw']",[],https://twitter.com/BMW/status/1491366353487466499,['http://b.mw/hypnopolis2'],[],1,240,9,45
4495,1.49E+18,thulasindi, ,1.6444E+12,2022-02-09T18:49:01Z,"What good is a BMW when there are no proper roads to drive on? What use is a Chanel bag when all of your cousins &amp; siblings can't find a job? There's no ambulance to fetch your granny when she falls ill, there is shit water running down your mother's street...",en,[],[],https://twitter.com/thulasindi/status/1491363502774448130,[],[],0,74,0,47
4496,1.49E+18,BMW, ,1.6444E+12,2022-02-09T18:47:16Z,"@marcobon13 @BMWMotorrad @BMWGroup Hi there, in order to have a closer look at your case, please send us a short description of the problem, your name, address (including country), email address, phone number and the VIN of the vehicle in a private message.",en,[],[],https://twitter.com/BMW/status/1491363062498140164,[],[],0,0,1,0
4497,1.49E+18,FLBarbella, ,1.6444E+12,2022-02-09T18:36:59Z,@BMW goes #NFT at @opensea with their “Museum of Sound”  https://t.co/njPeb61r8L,en,['nft'],[],https://twitter.com/FLBarbella/status/1491360474721574919,['https://bit.ly/3Loddyo'],[],0,4,0,0
4498,1.49E+18,bmwindia, ,1.6444E+12,2022-02-09T18:34:04Z,Fearlessly rewriting the rules of performance.  Stay tuned for the all-new BMW #TheM4Competition  https://t.co/YNYd1R4Alt,en,['them4competition'],[],https://twitter.com/bmwindia/status/1491359740458586113,[],[],1,82,2,10
4499,1.49E+18,BMW_UK, ,1.6444E+12,2022-02-09T18:03:44Z,"@patrick28788421 We can see why you're disappointed, Patrick. Please DM us your VIN, the BMW Centre you purchased your new car from, and a little more information on what' happened - we'll do our best to help where we can.",en,[],[],https://twitter.com/BMW_UK/status/1491352105256374274,[],[],0,0,0,0
4500,1.49E+18,BMW_UK, ,1.6444E+12,2022-02-09T18:00:17Z,"@dargibbo74 We're delighted to hear BMW Emergency Assistance looked after you so well - breaking down can be very frustrating. Thanks for taking the time to let us know about your experience, we'll be sure to pass your kind comments onto them.",en,[],[],https://twitter.com/BMW_UK/status/1491351238750916610,[],[],0,0,0,0
4501,1.49E+18,AngloAmericanZA, ,1.6444E+12,2022-02-09T17:40:00Z,"@KSerakoana @RealMrumaDrive @DHLAfrica @TDW_RSA @DSV_ZA @thedpsa @BMW_SA Hi Keabetswe, thanks for thinking of us! We regularly post job opportunities on our career portal, have a look to see if anything fits. All the best!  https://t.co/gwnYKpmrpZ",en,[],[],https://twitter.com/AngloAmericanZA/status/1491346130860486661,['http://bit.ly/32pT5q6'],[],0,3,0,0
4502,1.49E+18,VentureBeat, ,1.6444E+12,2022-02-09T17:02:21Z,Basemark creates AR experience for BMW cars  https://t.co/8ddRHqaXq1,en,[],[],https://twitter.com/VentureBeat/status/1491336657622159362,['https://venturebeat.com/2022/02/09/basemark-creates-ar-experience-for-bmw-cars/'],[],0,6,0,4
4503,1.49E+18,abc27News, ,1.6444E+12,2022-02-09T16:40:02Z,"Jack Mikulincer, 99, was on his motorized scooter crossing a Brooklyn street when he was fatally struck by a BMW SUV just before 5 p.m. on Saturday. Mikulincer was on his way to the Manhattan Beach Jewish Center at the time.   https://t.co/4888ufwEQx",en,[],[],https://twitter.com/abc27News/status/1491331040736129025,['https://trib.al/6ytPEAq'],[],0,0,0,0
4504,1.49E+18,AutoNewsEurope, ,1.64439E+12,2022-02-09T16:22:06Z,BMW taps Finnish supplier for help with iX's AR tech  https://t.co/5cRi6j0QoZ  https://t.co/49DdpFmW5g,en,[],[],https://twitter.com/AutoNewsEurope/status/1491326526528315395,['http://dlvr.it/SJfCxX'],['https://pbs.twimg.com/media/FLJBkq0VUAEzRDi.jpg'],1,2,0,1
4505,1.49E+18,CarsSouthAfrica, ,1.64439E+12,2022-02-09T16:14:51Z,"There's a new Alfa Romeo! Meet the interestingly styled Tonale, and the big news is it's coming to South Africa this year!  https://t.co/sswgpXKWax  Do you think it will be a good alternative to the BMW X1, Audi Q3 and Mercedes-Benz GLA?  https://t.co/V4BVekhZEm",en,[],[],https://twitter.com/CarsSouthAfrica/status/1491324704480759810,['https://bit.ly/TonaleAlfa'],"['https://pbs.twimg.com/media/FLI_1cNX0AA0b-l.jpg', 'https://pbs.twimg.com/media/FLI_2DRXEAAMiWh.jpg', 'https://pbs.twimg.com/media/FLI_3LfXsAAGsZ6.jpg']",1,8,3,0
4506,1.49E+18,BMW, ,1.64439E+12,2022-02-09T16:09:29Z,@KeithOMR How could you not be a fan after experiencing this model? 😉,en,[],[],https://twitter.com/BMW/status/1491323354648915970,[],[],0,0,0,0
4507,1.49E+18,BMW, ,1.64439E+12,2022-02-09T16:05:34Z,@ShwetSovit It truly is a powerful feeling 😍,en,[],[],https://twitter.com/BMW/status/1491322365799813124,[],[],0,1,1,0
4508,1.49E+18,kent_police, ,1.64439E+12,2022-02-09T15:44:05Z,"We're investigating a collision on the M2, at junction 3, which has left a driver seriously injured.   It involved a silver BMW M6 and took place at around 10pm on 8 February.  If you have info, including dashcam, call 01622 798 538 quoting SM/DS/26/22.   https://t.co/CDUrJBaAuV",en,[],[],https://twitter.com/kent_police/status/1491316960831111171,['https://www.kent.police.uk/news/kent/latest/appeals/appeal-after-driver-seriously-injured-in-m2-collision-near-rochester/'],[],0,10,0,5
4509,1.49E+18,t_seaward, ,1.64439E+12,2022-02-09T15:30:55Z,This is the moment drug dealer Richard Gray (in the black BMW handed over thousands of pounds to a cash courier in Burford garden centre car park  https://t.co/iSv2noPVV0,en,[],[],https://twitter.com/t_seaward/status/1491313648505356288,[],[],1,2,1,0
