,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
27,1.51e+18,BMW_ParkLane,UK,1650000000000.0,2022-09-04T21:33:00Z,"All-new, all-electric and all-commanding. The BMW iX is designed to make an impression. And it’s now available with a compelling 5.9% APR Representative.    See full offer details:  https://t.co/hLPGAMhV3t  Park Lane Ltd is a credit broker not a lender. Ts&amp;Cs apply.  https://t.co/PQ0byPcUxL",en,[],[],https://twitter.com/BMW_ParkLane/status/1512785659135770627,['https://bit.ly/36UaaPg'],['https://pbs.twimg.com/media/FP5-idqWUAI2NNP.jpg'],1,https://pbs.twimg.com/media/FP5-idqWUAI2NNP.jpg,0,0,0
28,1.51e+18,maximzhestkov,France,1650000000000.0,2022-09-04T21:30:00Z,@grigorev_studio @BMW Thank you! 🖤,en,[],[],https://twitter.com/maximzhestkov/status/1512785124731068421,[],[],0, ,0,0,0
29,1.51e+18,MyIndiafirst,India,1650000000000.0,2022-09-04T21:25:00Z,"On Camera, Speeding BMW Jumps Divider, Smashes Into Woman On Scooty  https://t.co/ciB5AT9VF4",en,[],[],https://twitter.com/MyIndiafirst/status/1512783680057614336,['https://myindiafirst.com/on-camera-speeding-bmw-jumps-divider-smashes-into-woman-on-scooty/'],[],0, ,0,0,0
30,1.51e+18,BMW_ParkLane,UK,1650000000000.0,2022-09-04T21:22:00Z,Amplify your BMW with our BMW M Performance Parts🔥 Take a look on our website today:   https://t.co/xPRCSBnke9  https://t.co/vOKB7neFKe,en,[],[],https://twitter.com/BMW_ParkLane/status/1512782890622406656,['https://bit.ly/3GOcfZF'],"['https://pbs.twimg.com/media/FP58BMTX0AIbT_8.jpg', 'https://pbs.twimg.com/media/FP58BMRXMAcUMiU.jpg', 'https://pbs.twimg.com/media/FP58BMTX0AAA8lQ.jpg', 'https://pbs.twimg.com/media/FP58BMTWQAQkLF3.jpg']",1,https://pbs.twimg.com/media/FP58BMTX0AIbT_8.jpg,0,0,0
31,1.51e+18,GreatBendPost,USA,1650000000000.0,2022-09-04T21:19:00Z,"Kansas man dead, another injured after pickup, BMW crash  https://t.co/bpBiYyqDOv",en,[],[],https://twitter.com/GreatBendPost/status/1512782137103056899,['http://dlvr.it/SNGfSZ'],[],0, ,0,0,0
32,1.51e+18,KnowledgeStall,India,1650000000000.0,2022-09-04T21:18:00Z,"On Camera, Speeding BMW Jumps Divider, Smashes Into Woman On Scooty - NDTV  https://t.co/4idGXKFksi",en,[],[],https://twitter.com/KnowledgeStall/status/1512782013526249474,['http://dlvr.it/SNGfNr'],[],0, ,0,0,0
33,1.51e+18,thealso,UK,1650000000000.0,2022-09-04T21:11:00Z,@RedBSierra No worse than the average BMW,en,[],[],https://twitter.com/thealso/status/1512780349658615811,[],[],0, ,1,0,0
34,1.51e+18,OnlineTheWiki,India,1650000000000.0,2022-09-04T21:11:00Z,"On Camera, Speeding BMW Jumps Divider, Smashes Into Woman On Scooty  https://t.co/EBzIgVGaao",en,[],[],https://twitter.com/OnlineTheWiki/status/1512780327307120643,['https://www.onlinewiki.in/wiki/news/on-camera-speeding-bmw-jumps-divider-smashes-into-woman-on-scooty/'],[],0, ,0,0,0
35,1.51e+18,OzzaT_,France,1650000000000.0,2022-09-04T21:02:00Z,She just wanted u to know she has a BMW 😂😂😂😂,en,[],[],https://twitter.com/OzzaT_/status/1512777923266236418,[],[],0, ,0,0,0
36,1.51e+18,blacklabeluk_,UK,1650000000000.0,2022-09-04T21:00:00Z,"As well as being an urban automotive approved dealer and a driven land jet approved dealer, we source new cars from most manufacturers at very competitive rates including:  Audi Bentley BMW Lamborghini Mercedes Benz  Range Rover Rolls Royce   💻  https://t.co/DOyP5hVnwA  https://t.co/ypbxjg5nLB",en,[],[],https://twitter.com/blacklabeluk_/status/1512777506704834563,['https://bit.ly/BlackLabelLifestyle'],['https://pbs.twimg.com/media/FP53IAjXIAIqw2k.jpg'],1,https://pbs.twimg.com/media/FP53IAjXIAIqw2k.jpg,0,0,0
37,1.51e+18,indiaExam12,India,1650000000000.0,2022-09-04T20:54:00Z,"On Camera, Speeding BMW Jumps Divider, Smashes Into Woman On Scooty  https://t.co/hTCsqGvRlJ",en,[],[],https://twitter.com/indiaExam12/status/1512775873564454918,['https://govtexam.net/on-camera-speeding-bmw-jumps-divider-smashes-into-woman-on-scooty/'],[],0, ,0,0,0
38,1.51e+18,ThriftWallet,USA,1650000000000.0,2022-09-04T20:49:00Z,"On Camera, Speeding BMW Jumps Divider, Rams Woman On Scooty In Mangaluru  https://t.co/dC1WsN2uQZ",en,[],[],https://twitter.com/ThriftWallet/status/1512774670453547011,['https://thriftyourwallet.com/on-camera-speeding-bmw-jumps-divider-rams-woman-on-scooty-in-mangaluru/'],[],0, ,0,0,0
39,1.51e+18,ThriftWallet,USA,1650000000000.0,2022-09-04T20:48:00Z,"On Camera, Speeding BMW Jumps Divider, Rams Woman On Scooty In Mangaluru  https://t.co/62hN3nNi5e",en,[],[],https://twitter.com/ThriftWallet/status/1512774452932657155,['https://tamilnaatunadapu.in/2022/04/09/on-camera-speeding-bmw-jumps-divider-rams-woman-on-scooty-in-mangaluru/'],[],0, ,0,0,0
40,1.51e+18,queen23_selfie,India,1650000000000.0,2022-09-04T20:48:00Z,"On Camera, Speeding BMW Jumps Divider, Rams Woman On Scooty In Mangaluru  https://t.co/zmSI1lkzs7",en,[],[],https://twitter.com/queen23_selfie/status/1512774438189776900,['https://www.currentnewstv.com/on-camera-speeding-bmw-jumps-divider-rams-woman-on-scooty-in-mangaluru/'],[],0, ,0,0,0
41,1.51e+18,moonlhse,UK,1650000000000.0,2022-09-04T20:43:00Z,Someone buy me a BMW Z4 and I’ll pay you back in instalments,en,[],[],https://twitter.com/moonlhse/status/1512773228489547778,[],[],0, ,0,0,0
42,1.51e+18,dzyrl,France,1650000000000.0,2022-09-04T20:42:00Z,"Has Euro English finally won? A “Beamer” is not an actual thing in English, unless you are using a faintly ghastly abbreviation to boast about your BMW.  https://t.co/8yCbtRKz4H",en,[],[],https://twitter.com/dzyrl/status/1512772938226933764,[],['https://pbs.twimg.com/media/FP5y96hWUAUvvy6.jpg'],1,https://pbs.twimg.com/media/FP5y96hWUAUvvy6.jpg,1,0,0
43,1.51e+18,Niikkaa90,Germany,1650000000000.0,2022-09-04T20:39:00Z,Good result from Ilia Mykhalchyk! I know he is very familiar with the BMW bike but still 👍 #WorldSBK #AragonWorldSBK,en,"['worldsbk', 'aragonworldsbk']",[],https://twitter.com/Niikkaa90/status/1512772264789434370,[],[],0, ,0,0,0
44,1.51e+18,PornTweets18,USA,1650000000000.0,2022-09-04T20:31:00Z,@DojaCat @BMW With whom you ride that bmw?,en,[],[],https://twitter.com/PornTweets18/status/1512770187321577476,[],[],0, ,0,0,0
45,1.51e+18,Vl0uKsixYDbn1ot,Singapore,1650000000000.0,2022-09-04T20:30:00Z,"@attemptingbutch @DojaCat @BMW Hi, can we get to know each other?",en,[],[],https://twitter.com/Vl0uKsixYDbn1ot/status/1512769951999795205,[],[],0, ,0,0,0
46,1.51e+18,LuxuryCars365,USA,1650000000000.0,2022-09-04T20:26:00Z,BMW M2 F87 ♠️  https://t.co/N8B8ZzimNm,en,[],[],https://twitter.com/LuxuryCars365/status/1512769035141795840,[],['https://pbs.twimg.com/media/FP5va2EXoAYNXgf.jpg'],1,https://pbs.twimg.com/media/FP5va2EXoAYNXgf.jpg,664,0,70
47,1.51e+18,alexthepage,UK,1650000000000.0,2022-09-04T20:20:00Z,Scott Redding said this week that the BMW is much more exciting to ride than the Ducati. He’s currently running outside of the points in 16th. #AragonWorldSBK,en,['aragonworldsbk'],[],https://twitter.com/alexthepage/status/1512767332036321282,[],[],0, ,2,0,0
48,1.51e+18,Joshcommentator,France,1650000000000.0,2022-09-04T20:15:00Z,"Live @750MotorClub racing from Croft Circuit can be found here:  https://t.co/E3cqBBZggR  Racing today are BMW Car Club, Type-R Trophy, Sports 1000, Clio Sport, 5Club MX5, Ma7da and Hot Hatch.",en,[],[],https://twitter.com/Joshcommentator/status/1512766022394208266,['https://www.youtube.com/watch?v=_hq30TLmKb0'],[],0, ,1,0,1
