,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
320,1507401578231349249,MFG_GM,1648227517000.0,2022-03-26 00:58:37,"Earlier this week at our @Cadillac LYRIQ event, the hard work, commitment, and #mfg excellence of our #GMSpringHill team was on display, and serves as a model for how we will transition other assembly operations for EV production. Read more:  https://t.co/gRQzKuFtxU  https://t.co/wCDWbpKPhd",en,"['mfg', 'gmspringhill']",[],https://twitter.com/MFG_GM/status/1507401578231349249,['https://bit.ly/3iTeGQB'],['https://pbs.twimg.com/media/FOtdvv-WQA8HXw9.jpg'],1,https://pbs.twimg.com/media/FOtdvv-WQA8HXw9.jpg,38,2,7
321,1507397457591914501,roadshow,1648226534000.0,2022-03-26 00:42:14,2023 Cadillac Lyriq Electric SUV Production Begins in Tennessee  https://t.co/zbO5TkwGYe,en,[],[],https://twitter.com/roadshow/status/1507397457591914501,['https://trib.al/5M4hiGx'],[],0,,14,0,0
322,1507394019155980289,247Sports,1648225714000.0,2022-03-26 00:28:34,Cadillac Williams and Ronnie Brown at @AuburnFootball were a DYNAMIC duo. 😤  Two of the best to ever do it. @CoachCaddy24 @ronnie23brown   (via @CFB_History)      https://t.co/6qESr6xTKe,en,[],[],https://twitter.com/247Sports/status/1507394019155980289,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1417280623375527936/pu/img/bKULEThq4T36dSpu.jpg,1581,35,316
323,1507387285687443468,weatherchannel,1648224109000.0,2022-03-26 00:01:49,"""Classy... Elegance... Luxury...""  ""What are we? A Cadillac?""  https://t.co/F62w4SkMQh",en,[],[],https://twitter.com/weatherchannel/status/1507387285687443468,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1507386116319723531/pu/img/1Su-TZinL0kNyUMX.jpg,103,5,24
324,1507386841615540227,MGMGrandDetroit,1648224003000.0,2022-03-26 00:00:03,🎀 GRAND PRIZE DRAWING TONIGHT!   Don't miss your chance to drive away in a brand new 2022 Cadillac XT5.  Learn More:  https://t.co/1ic1zWTKAJ  (21+ | Excludes MI DPL)  https://t.co/UUbvsug9nj,en,[],[],https://twitter.com/MGMGrandDetroit/status/1507386841615540227,['http://spr.ly/6011KUitb'],['https://pbs.twimg.com/media/FOtQV3CWYAEb1fL.jpg'],1,https://pbs.twimg.com/media/FOtQV3CWYAEb1fL.jpg,2,0,0
325,1507374523292733441,Barrett_Jackson,1648221066000.0,2022-03-25 23:11:06,"Who you gonna call? GHOSTBUSTERS! This 1992 Cadillac Fleetwood Brougham Hearse Ecto-1 recreation was completed in 2017 after the 2016 movie ""Ghostbusters: Answer the Call."" Lot #642 is selling with No Reserve at the 2022 Palm Beach Auction. Learn more here  https://t.co/KuhQj7ZeZm  https://t.co/2t3BsS8Nw5",en,[],[],https://twitter.com/Barrett_Jackson/status/1507374523292733441,['http://bit.ly/PB22-1992Ecto-1'],"['https://pbs.twimg.com/media/FOtFIF0WQAEbAqx.jpg', 'https://pbs.twimg.com/media/FOtFIYYXIBYeIiZ.jpg', 'https://pbs.twimg.com/media/FOtFIpsWYAA6epa.jpg', 'https://pbs.twimg.com/media/FOtFI3yXsAEALDq.jpg']",1,https://pbs.twimg.com/media/FOtFIF0WQAEbAqx.jpg,45,1,10
327,1507371447894913029,broadwaychicago,1648220333000.0,2022-03-25 22:58:53,"We've got sunshine on a cloudy day! ☀️ Tickets are now on sale for @AintTooProudMusical -""an electrifying musical"" (The Washington Post)! Coming to the Cadillac Palace Theatre May 24 - June 5 only.  https://t.co/G3fbX1mMRr  https://t.co/0seJNA9Lzt",en,[],[],https://twitter.com/broadwaychicago/status/1507371447894913029,['https://bit.ly/AintTooProud_CHI'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1507371258907877383/pu/img/xmb1XYfe3KBWSemJ.jpg,3,0,1
328,1507366589850554370,DG_Reports,1648219175000.0,2022-03-25 22:39:35,#BREAKING: You can see a Cadillac Escalade and a Uhaul rental Chevy Silverado with smashed front ends being towed at the scene. They were facing each other. #fox13 @fox13seattle  https://t.co/breKl5J0DG,en,"['breaking', 'fox13']",[],https://twitter.com/DG_Reports/status/1507366589850554370,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1507366556824588292/pu/img/FOJ_Fu1P5hUT63Km.jpg,6,1,1
331,1507360510056017927,PNCArtsCenter,1648217725000.0,2022-03-25 22:15:25,#OnSaleNow 💀 @RobZombie and @Mudvayne with @OfficialStaticX and Powerman 5000 - July 31st!  ⭐️ Let’s do this! Get tickets now &gt;  https://t.co/aNnbKmnLqx  Part of the #Cadillac Tri-State Concert Series 🤘  https://t.co/UuQFB2fYqp,en,"['onsalenow', 'cadillac']",[],https://twitter.com/PNCArtsCenter/status/1507360510056017927,['https://livemu.sc/3tu7BvQ'],[],1,https://pbs.twimg.com/amplify_video_thumb/1507360411510837255/img/OJSxxvAHx_3XJkpl.jpg,4,0,0
332,1507358571516002304,StarCinema,1648217263000.0,2022-03-25 22:07:43,Vice Ganda gave a glimpse of his 2021 Cadillac Escalade in one of his YouTube vlogs.    https://t.co/Hn2mDuQeRK,en,[],[],https://twitter.com/StarCinema/status/1507358571516002304,['https://bit.ly/3Nf9yUC'],[],0,,9,0,1
333,1507355907293954048,MSGNetworks,1648216628000.0,2022-03-25 21:57:08,How many points did Latrell Sprewell average in the 2001-2002 season?  @Cadillac | #CadillacTrivia,en,['cadillactrivia'],[],https://twitter.com/MSGNetworks/status/1507355907293954048,[],[],0,,1,1,1
335,1507349835250348039,GM,1648215180000.0,2022-03-25 21:33:00,"@DesJarlaisTN04 With the @Cadillac LYRIQ, you're sure to be the envy of everyone. 😉 Thanks for sharing your support.",en,[],[],https://twitter.com/GM/status/1507349835250348039,[],[],0,,1,0,0
336,1507338546214064171,marc_saltzman,1648212489000.0,2022-03-25 20:48:09,"One more sleep.  Excited for the new episode of #TechImpact to drop tomorrow, on @FoxBusiness, at 12pm ET/9am PT.  @Cadillac's CMO Melissa Grady Dias is great. 🙏🚗",en,['techimpact'],[],https://twitter.com/marc_saltzman/status/1507338546214064171,[],[],0,,0,0,0
338,1507215840772468736,byjoelanderson,1648183233000.0,2022-03-25 12:40:33,"@olutrain But for the first couple years of Bill Foster and Cadillac Anderson, ain’t been much to speak of over there. It’s been long past time.",en,[],[],https://twitter.com/byjoelanderson/status/1507215840772468736,[],[],0,,2,0,1
339,1507211926090264595,9and10News,1648182300000.0,2022-03-25 12:25:00,"The First Presbyterian Church in Cadillac is celebrating 150 years by passing along kindness.  It’s called, be the I in-kind campaign.  https://t.co/ccptCC79jN",en,[],[],https://twitter.com/9and10News/status/1507211926090264595,['https://www.9and10news.com/2022/03/24/first-presbyterian-church-in-cadillac-be-the-i-in-kind-campaign/'],[],0,,1,0,0
341,1507161343719362564,Snapdragon,1648170240000.0,2022-03-25 09:04:00,One step closer to seeing the @Cadillac LYRIQ on the road - much of the revolutionary tech inside the vehicle is enabled by the Snapdragon #DigitalChassis.,en,['digitalchassis'],[],https://twitter.com/Snapdragon/status/1507161343719362564,[],[],0,,29,0,3
342,1507157572226269201,SNYtv,1648169341000.0,2022-03-25 08:49:01,"On Baseball Night in New York, @emacSNY asks @SlangsOnSports, @JerryBlevins &amp; @NYNJHarper who has the best rotation in Major League Baseball   https://t.co/oUI38yAkPd  ▶ @Cadillac  https://t.co/xZLpbZuwh4",en,[],[],https://twitter.com/SNYtv/status/1507157572226269201,['https://on.sny.tv/PrfydBx'],[],1,https://pbs.twimg.com/amplify_video_thumb/1507153489708957704/img/2GQBt-wg94xzWUbH.jpg,14,0,2
