,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
197,1509597507243941888,gabbariele,1648751067000.0,2022-04-01 02:24:27,#PhilipKotler on Essentials of Modern #Marketing:   https://t.co/46mGzzTBWz #visualcommunicationplanner #marketingcanvas #VCP #digitalstrategy #bebrilliant #anewpathtodigital #EOMM #caterpillarbrands #books #tiktok #Danone #Lamborghini #Knauf #Clementoni #Safilo #Bauli,en,"['philipkotler', 'marketing', 'visualcommunicationplanner', 'marketingcanvas', 'vcp', 'digitalstrategy', 'bebrilliant', 'anewpathtodigital', 'eomm', 'caterpillarbrands', 'books', 'tiktok', 'danone', 'lamborghini', 'knauf', 'clementoni', 'safilo', 'bauli']",[],https://twitter.com/gabbariele/status/1509597507243941888,['https://www.tiktok.com/@gabbariele_official/video/7061577986172144902?is_copy_url=1&is_from_webapp=v1'],[],0,,0,0,0
200,1509588008206422020,internetarchive,1648748802000.0,2022-04-01 01:46:42,"IN 2 HOURS: Join me at 1 PM PT for this introduction to Self Sovereign (#Decentralized #Identity.) It may be the future of more private, secure, user-controlled ways to log into your account. @IdentityWoman @GETJolocom @IreneAdamski  @Lambo.  👉REGISTER:  https://t.co/kSmZA8bsXi  https://t.co/5baa5A4gw8",en,"['decentralized', 'identity']",[],https://twitter.com/internetarchive/status/1509588008206422020,['https://us02web.zoom.us/webinar/register/WN_TETvI8qYTV2Cowt_JtmplQ?mc_cid=5f786dc67a&mc_eid=8c6dec5073'],['https://pbs.twimg.com/media/FPMiHzOUcAIeBcm.jpg'],1,https://pbs.twimg.com/media/FPMiHzOUcAIeBcm.jpg,12,1,5
201,1509586684777750529,robertsnellnews,1648748487000.0,2022-04-01 01:41:27,"COVID rescue cash helped fill this garage with a Lamborghini Huracan, a Porsche 911 Carrera and more, according to the feds  https://t.co/666BGVBDvf",en,[],[],https://twitter.com/robertsnellnews/status/1509586684777750529,['https://storage.courtlistener.com/recap/gov.uscourts.ilnd.413806/gov.uscourts.ilnd.413806.1.0.pdf'],[],0,,4,1,1
202,1509573553363902490,AviatorsLV,1648745356000.0,2022-04-01 00:49:16,Everyone welcome Lambo to the Aviators family! 🐶  https://t.co/UIYnedBZlB,en,[],[],https://twitter.com/AviatorsLV/status/1509573553363902490,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1509573487450476547/pu/img/GFib0tdzpk2MWyCR.jpg,363,11,31
203,1509572871970041857,gabbariele,1648745193000.0,2022-04-01 00:46:33,"Fabrizio Gavelli, General Manager of #Danone in #Italy and #Greece on the #book Essentials of Modern #Marketing:  https://t.co/AtO916mrNH #VCP #bebrilliant #anewpathtodigital #EOMM #caterpillarbrands #books #tiktok #Lamborghini #Knauf #Clementoni #Safilo #Bauli",en,"['danone', 'italy', 'greece', 'book', 'marketing', 'vcp', 'bebrilliant', 'anewpathtodigital', 'eomm', 'caterpillarbrands', 'books', 'tiktok', 'lamborghini', 'knauf', 'clementoni', 'safilo', 'bauli']",[],https://twitter.com/gabbariele/status/1509572871970041857,['https://www.tiktok.com/@gabbariele_official/video/7063189553649306885?is_copy_url=1&is_from_webapp=v1'],[],0,,0,0,0
204,1509564462050824200,Lamborghini,1648743188000.0,2022-04-01 00:13:08,"In the second episode of our Lamborghini Style Guide we talked about shoes. Style Journalist @Teovandenbroeke gave his take on them, leaving us some important precious tips.​  #Lamborghini #HuracanSTO​  CO2 Emission and Fuel consumption Combined:  https://t.co/zr6fo0ia3H  https://t.co/AYcUTSn9YG",en,"['lamborghini', 'huracansto']",[],https://twitter.com/Lamborghini/status/1509564462050824200,['https://lam.bo/CE_Tw'],[],1,https://pbs.twimg.com/media/FPMGF-gWUA4oj2M.jpg,441,13,48
205,1509562892269543424,SunBoxing,1648742814000.0,2022-04-01 00:06:54,Conor Benn wants Amir Khan clash but veteran rival pricing himself out of fight with demands ‘for new Lamborghini’  https://t.co/mH5NSAytEV,en,[],[],https://twitter.com/SunBoxing/status/1509562892269543424,['https://www.thesun.co.uk/sport/18128642/conor-benn-amir-khan-fight-retirement/'],[],0,,0,0,5
207,1509559613041094671,CarcassGG,1648742032000.0,2022-03-31 23:53:52,"@ZikGOD @muriig0d @llissuh Yo, @ZikGOD  thanks for lending me your lambo the other day and thanks for letting me stay in the mansion with the personal gym and pool it was great cheers bro!",en,[],[],https://twitter.com/CarcassGG/status/1509559613041094671,[],[],0,,2,2,0
208,1509555285731512320,NYCCOIB,1648741000000.0,2022-03-31 23:36:40,"do you know how many reams of mid-tier copier paper it takes to buy a lamborghini?  reader, it's a lot.",en,[],[],https://twitter.com/NYCCOIB/status/1509555285731512320,[],[],0,,10,0,1
209,1509550836896219141,QuestTV,1648739940000.0,2022-03-31 23:19:00,"If there's one Lamborghini you want to uncover, it's this one! 😍  #ChasingClassicCars continues tonight at 10pm on Quest  https://t.co/j1wGY2EsiI",en,['chasingclassiccars'],[],https://twitter.com/QuestTV/status/1509550836896219141,[],[],1,https://pbs.twimg.com/media/FNa6OZwXwAY3KCY.jpg,9,1,2
211,1509532182238224384,gabbariele,1648735492000.0,2022-03-31 22:04:52,"""This book presents an up-to-date and insightful account of the working of modern marketing in today's troubled time."" #PhilpKotler. Discover the #book:  https://t.co/UjfEez1ObT with cases of #Danone #Lamborghini #marketing #iliad #Knauf #EOMM #bebrilliant #purpose #sustainability  https://t.co/wF2f4Rm1hQ",en,"['philpkotler', 'book', 'danone', 'lamborghini', 'marketing', 'iliad', 'knauf', 'eomm', 'bebrilliant', 'purpose', 'sustainability']",[],https://twitter.com/gabbariele/status/1509532182238224384,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPLvhRhVUAAOBEJ.jpg'],1,https://pbs.twimg.com/media/FPLvhRhVUAAOBEJ.jpg,0,0,0
212,1509524473183182849,USNewsCars,1648733654000.0,2022-03-31 21:34:14,"Given its extremely high performance and low production numbers, the Lamborghini Diablo is quickly becoming a highly desirable collectible car.  https://t.co/eCoAnbpiON",en,[],[],https://twitter.com/USNewsCars/status/1509524473183182849,['https://nytv.to/5zDBA'],[],0,,0,0,0
217,1509472474680942592,russburlingame,1648721257000.0,2022-03-31 18:07:37,"Reading the quotes, this guy sounds EXACTLY like somebody who drives a Lamborghini and offers reward money in crypto.",en,[],[],https://twitter.com/russburlingame/status/1509472474680942592,[],[],0,,2,0,0
218,1509463550124769286,FazeMiyake,1648719129000.0,2022-03-31 17:32:09,Have you considered that everyone rents Lambo for their vid so it’s not really separating you or getting you noticed? Just saying. Could save a few bob doing the video brother. Gotta captivate the audience man…,en,[],[],https://twitter.com/FazeMiyake/status/1509463550124769286,[],[],0,,33,1,4
219,1509461613199429639,gabbariele,1648718667000.0,2022-03-31 17:24:27,Highlights of the launching event of Essentials of Modern #Marketing:  https://t.co/GSSRgXXkkw #visualcommunicationplanner #marketingcanvas #VCP #digitalstrategy #bebrilliant #anewpathtodigital #EOMM #caterpillarbrands #books #tiktok #Danone #Lamborghini #Knauf #Clementoni #hfarm,en,"['marketing', 'visualcommunicationplanner', 'marketingcanvas', 'vcp', 'digitalstrategy', 'bebrilliant', 'anewpathtodigital', 'eomm', 'caterpillarbrands', 'books', 'tiktok', 'danone', 'lamborghini', 'knauf', 'clementoni', 'hfarm']",[],https://twitter.com/gabbariele/status/1509461613199429639,['https://www.tiktok.com/@gabbariele_official/video/7061893180991622406?is_copy_url=1&is_from_webapp=v1'],[],0,,0,0,0
221,1509450090821431298,Lamborghini,1648715920000.0,2022-03-31 16:38:40,"Lamborghini Countach LEGO Speed Champions is a realistic @LEGO_Group adaptation of the famed Super Sports Car. Have fun building it, have even more fun playing with it. One thing is certain, it makes for an awesome gift.   #Lamborghini #Countach #LEGO  https://t.co/n08YIkm3X0",en,"['lamborghini', 'countach', 'lego']",[],https://twitter.com/Lamborghini/status/1509450090821431298,[],"['https://pbs.twimg.com/media/FPKkrykXwAIF-Sv.jpg', 'https://pbs.twimg.com/media/FPKkr1UXIAMIZsN.jpg', 'https://pbs.twimg.com/media/FPKkr2XXIAUL_4w.jpg']",1,https://pbs.twimg.com/media/FPKkrykXwAIF-Sv.jpg,757,12,81
223,1509447241253199872,FivioForeign,1648715241000.0,2022-03-31 16:27:21,Me sitting on Top of Nicci pink Lambo in the middle of Queens 🔥,en,[],[],https://twitter.com/FivioForeign/status/1509447241253199872,[],[],0,,7768,117,830
