,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
334,1508454603775516680,VolvoCarUSA,1648478577000.0,2022-03-28 22:42:57,"@JesusAv11134349 Hi Jesus, we've sent you a message. Please check your inbox!",en,[],[],https://twitter.com/VolvoCarUSA/status/1508454603775516680,[],[],0,,0,0,0
335,1508449913301991425,TheDrum,1648477459000.0,2022-03-28 22:24:19,Volvo takes US consumers on a journey through electric sockets for EV car launch  https://t.co/SR5zlRQrj1  https://t.co/oZLFR8SyfH,en,[],[],https://twitter.com/TheDrum/status/1508449913301991425,['http://dlvr.it/SMWNJB'],['https://pbs.twimg.com/media/FO8XM9gVkAIn9TT.jpg'],1,https://pbs.twimg.com/media/FO8XM9gVkAIn9TT.jpg,4,0,1
336,1508448059180605441,AllArtsTV,1648477017000.0,2022-03-28 22:16:57,"One artist, five sisters and a family’s love of cars in early 2000s-era Philadelphia anchors @don_jones’ immersive film “Volvo Truck and the Girls From Up the Hill.”   Watch it as part of the our #ArtistinResidence series April 10 at 8:30 p.m.  https://t.co/5GRSYCKCrm  https://t.co/1KJtFBm8VQ",en,['artistinresidence'],[],https://twitter.com/AllArtsTV/status/1508448059180605441,['https://bit.ly/3HwGF2m'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1508448009180307468/pu/img/sjgH9d1T-yTpIXpn.jpg,2,0,3
337,1508447929865949189,parthodasgupta,1648476986000.0,2022-03-28 22:16:26,Wireless charging by #Volvo - what a great innovation  https://t.co/K85V4iihkj,en,['volvo'],[],https://twitter.com/parthodasgupta/status/1508447929865949189,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1508447862513754115/pu/img/g1qs4s_yS2A7o0vF.jpg,10,0,3
338,1508438806231498756,CarsSouthAfrica,1648474811000.0,2022-03-28 21:40:11,Volvo SA is moving swiftly toward its planned all-electric future by integrating greener technology into its diverse product portfolio.  ⚡ Contributor @IanMcLaren76 looks at the options available to our increasingly efficiency-conscious market.  https://t.co/gHGIq3Tjpj  https://t.co/wzDMikNC4F,en,[],[],https://twitter.com/CarsSouthAfrica/status/1508438806231498756,['https://bit.ly/VolvoSAelec22'],"['https://pbs.twimg.com/media/FO8NFBNWQAM5eET.jpg', 'https://pbs.twimg.com/media/FO8NFBMXoAc_yjM.jpg']",1,https://pbs.twimg.com/media/FO8NFBNWQAM5eET.jpg,7,1,2
341,1508432453110833158,VolvoCarUSA,1648473296000.0,2022-03-28 21:14:56,"@kevingame84 Hi Kevin, we've sent you a message. Please check your inbox.",en,[],[],https://twitter.com/VolvoCarUSA/status/1508432453110833158,[],[],0,,0,0,0
342,1508429203217305606,VolvoTrucksUK,1648472521000.0,2022-03-28 21:02:01,"🇵🇪 We focus primarily on Volvos from the UK and Ireland, but every so often pictures arrive in our inbox from around the world... including this shot of a Volvo FH from Melvin Rodriguez, of transport company Mi Jasmin SRL, based in Peru. 👍  https://t.co/lQs53Jsos2",en,[],[],https://twitter.com/VolvoTrucksUK/status/1508429203217305606,[],['https://pbs.twimg.com/media/FO8EXW8WQAAz6A8.jpg'],1,https://pbs.twimg.com/media/FO8EXW8WQAAz6A8.jpg,67,1,6
344,1508396270246842368,VolvoCarUK,1648464670000.0,2022-03-28 18:51:10,"@rachski5 Hi Rachel, thank you for reaching out. May we ask that you directly message us your Reg and we can look into this further for you.",en,[],[],https://twitter.com/VolvoCarUK/status/1508396270246842368,[],[],0,,0,0,0
349,1508372373669650434,VolvoTrucksUK,1648458972000.0,2022-03-28 17:16:12,"Check out our flagship, the latest generation Volvo FH16 – with uncompromising comfort and loaded with features that make you more efficient.  See what an FH16 could do for your fleet:  https://t.co/noiq6AfAI7  #volvotrucks #volvofh16  https://t.co/KeTcnFFUkm",en,"['volvotrucks', 'volvofh16']",[],https://twitter.com/VolvoTrucksUK/status/1508372373669650434,['https://bit.ly/2QondNy'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1508372324210429952/pu/img/r40ytMtwEDHZhYSs.jpg,48,0,5
354,1508350549879668744,CarDealerEd,1648453769000.0,2022-03-28 15:49:29,"Inchcape acquires Porsche, Land Rover and Volvo distribution business  https://t.co/WQDJLIo9U1",en,[],[],https://twitter.com/CarDealerEd/status/1508350549879668744,['https://cardealermagazine.co.uk/publish/inchcape-acquires-porsche-land-rover-and-volvo-distribution-business/258602'],[],0,,1,0,0
